RoiName:,Aortic ascending flow,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RL[mm],AP[mm],FH[mm],,,,,,,,,,,,,,,,,,,,,,,,,
TopLeftCorner,-7.225985771,-49.20658036,12.86015773,,,,,,,,,,,,,,,,,,,,,,,,,
TopRightCorner,26.68025462,-49.20658036,12.88568114,,,,,,,,,,,,,,,,,,,,,,,,,
BottomRightCorner,26.68014248,-11.66781349,13.03466053,,,,,,,,,,,,,,,,,,,,,,,,,
BottomLeftCorner,-7.226097918,-11.66781349,13.00913712,,,,,,,,,,,,,,,,,,,,,,,,,
ResolutionRows[mm]:,1.2109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResolutionCols[mm]:,1.2109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
VelocityScale[cm/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time [ms]:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.31014538,13.23566437,2.588510513,-11.96579933,-18.51037788,-10.30525017,0.634908676,4.639792442,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.048851967,11.28206253,13.82172108,2.588510513,-10.59830189,-13.5286808,-6.495726109,-0.146520138,1.514029503,-0.341868401,-1.221013069,1.416373253,1.90474987,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-3.565323353,-7.765567303,5.714273453,12.35654354,6.202673912,-2.588510513,-2.686202526,-0.634920597,-2.588510513,-4.835164547,-3.760683537,-2.393162251,-4.737484455,-9.328449249,-4.639804363,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4.249095917,-3.174602985,2.979254723,9.328436852,9.230780602,6.007313728,3.956031799,-0.732600689,-8.449327469,-11.96579933,-8.840036392,-7.960927486,-13.04030418,-17.72894859,-10.01220894,2.686214447,-1.123321056,0,0,0,0,0,0
0,0,0,0,0,17.92430878,9.914541245,3.956031799,3.174614906,4.249095917,4.737496376,4.249095917,0.634908676,-6.202685833,-12.45421219,-14.50549316,-12.844944,-11.96579933,-12.35653114,-11.0866909,-6.788778305,-2.88156271,-4.737484455,-8.156299591,0,0,0,0,0
0,0,0,0,0,6.495738029,7.472538948,5.714273453,4.346776009,2.29549408,-1.807081699,-5.225896835,-7.374846935,-7.08180666,-6.398046017,-7.863247395,-9.816848755,-8.547008514,-3.663015366,1.318669319,1.611733437,-4.932844639,-7.960927486,-4.835164547,-1.025629044,0,0,0,0
0,0,0,0,-3.174602985,-3.565323353,-0.927960873,2.490854263,6.691074371,4.542136192,-2.88156271,-9.133089066,-9.230768204,-1.123321056,4.249095917,1.025629044,-3.760683537,-4.639804363,-2.100133896,0.634908676,0.634908676,-2.393162251,-5.323565006,-4.053723812,-0.24420023,0,0,0,0
0,0,0,0,-4.542124271,-13.82173347,-10.98900986,-0.927960873,8.351659775,6.202673912,-1.90474987,-7.765567303,-6.398046017,0.146508217,3.076910973,0.83026886,-2.002441883,-4.639804363,-8.449327469,-10.89133072,-8.644687653,-2.686202526,-0.927960873,-3.858363628,-4.542124271,0,0,0,0
0,0,0,0,-2.88156271,-16.16606712,-13.43101311,-0.048840046,9.230780602,5.518913269,-1.123321056,-3.663015366,-2.686202526,-3.46763134,-7.570207119,-10.10988998,-8.742368698,-8.351659775,-14.21244144,-19.87789917,-16.75213623,-6.886446476,-1.025629044,-3.272283077,-7.374846935,0,0,0,0
0,0,0,0,2.490854263,-6.593394279,-5.714273453,3.174614906,9.133076668,6.593394279,3.36997509,2.881550789,1.514029503,-5.128204823,-15.18925476,-20.36629868,-16.94749641,-10.10988998,-10.98900986,-17.72894859,-18.9010849,-12.25885201,-5.03051281,-3.95604372,-8.547008514,0,0,0,0
0,0,0,0,7.081794739,5.03051281,3.663015366,6.495738029,10.89131832,12.25883961,11.77043915,9.523797035,5.03051281,-2.100133896,-11.77045059,-17.1428566,-13.82173347,-6.788778305,-6.105005741,-12.64955997,-16.26373482,-14.01709366,-9.816848755,-7.570207119,-9.035420418,0,0,0,0
0,0,0,0,5.323553085,6.691074371,6.105017662,9.133076668,15.09156227,17.24054718,15.38460255,9.914541245,3.46763134,0.537252426,-0.341868401,-1.025629044,-2.490842342,-4.932844639,-6.984126568,-8.156299591,-8.547008514,-9.816848755,-12.35653114,-11.37973022,-5.128204823,0,0,0,0
0,0,0,0,1.123332977,1.514029503,4.835152626,11.18438244,14.99390602,11.57507896,6.105017662,1.221013069,-2.588510513,-2.393162251,3.076910973,7.277154922,2.783894539,-6.300365925,-6.007325649,0.537252426,2.881550789,-2.393162251,-11.0866909,-10.59830189,0,0,0,0,0
0,0,0,0,1.221013069,2.490854263,9.523797035,14.7008419,10.30526161,2.29549408,-1.611721516,-2.588510513,-4.542124271,-5.03051281,-1.611721516,-0.24420023,-5.323565006,-8.840036392,-1.025629044,9.523797035,10.30526161,1.514029503,-8.644687653,-8.840036392,0,0,0,0,0
0,0,0,0,4.542136192,8.351659775,14.79854584,15.67766666,9.133076668,2.979254723,0.83026886,0.244212151,-1.90474987,-3.95604372,-4.639804363,-7.374846935,-10.89133072,-8.449327469,1.025629044,8.253955841,7.179498672,0.244212151,-6.495726109,0,0,0,0,0,0
0,0,0,0,0,5.518913269,8.840036392,11.86814308,12.844944,11.6727829,7.960915565,3.076910973,-1.221013069,-2.393162251,-0.830280781,-1.709401608,-3.760683537,-4.346776009,-3.858363628,-4.346776009,-4.346776009,-3.174602985,-4.053723812,0,0,0,0,0,0
0,0,0,0,0,-6.984126568,-3.46763134,7.179498672,16.36142731,16.36142731,8.742380142,1.123332977,-2.393162251,-0.048840046,6.007313728,9.230780602,8.156299591,2.100133896,-6.105005741,-11.67277145,-11.77045059,-8.937728882,-6.007325649,0,0,0,0,0,0
0,0,0,0,0,-9.523809433,-4.737484455,6.691074371,12.844944,8.449316025,0.439548492,-1.416361332,2.588510513,5.909657478,7.081794739,9.816837311,12.16118336,9.523797035,2.783894539,-2.686202526,-7.277154922,-10.98900986,-7.374846935,0,0,0,0,0,0
0,0,0,0,0,1.025629044,4.444432259,8.937740326,4.151391983,-6.105005741,-10.30525017,-2.490842342,9.816837311,9.523797035,0.341868401,-2.197802067,3.858375549,11.28206253,9.523797035,1.709389687,-4.835164547,-8.547008514,0,0,0,0,0,0,0
0,0,0,0,0,0,6.691074371,5.909657478,-2.002441883,-11.47742271,-13.72406483,-2.686202526,11.77043915,8.449316025,-6.984126568,-14.79853439,-7.08180666,5.225896835,4.444432259,-5.323565006,-10.69597054,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-6.984126568,-2.295482159,-3.174602985,-6.007325649,-0.927960873,9.523797035,7.374858856,-6.300365925,-16.06837463,-10.40291786,-0.927960873,-2.979242802,-11.96579933,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10.20755768,3.36997509,1.123332977,7.667899132,9.719181061,1.416373253,-8.449327469,-7.472538948,-2.783894539,-4.44444418,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-0.341868401,8.253955841,13.13796043,6.495738029,-3.858363628,-5.51892519,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time [ms]:,26.23076923,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
